distance_ft,vx_ft_s,vy_ft_s,v_ft_s,alpha_deg,beta_entry_deg,mode
3.0,4.67483023604591,15.97233663982352,16.64240293562495,73.68614757373943,45.0,ideal
4.0,5.810019610023056,16.340680153189844,17.342841628109994,70.42687416958981,45.0,ideal
5.0,6.828541975213039,16.72992783927194,18.06984977841522,67.79652146794261,45.0,ideal
6.0,7.756903921124616,17.129829492483527,18.804271240415485,65.63754698468782,45.0,ideal
7.0,8.613330298062962,17.534279535342463,19.53561920306236,63.83843355798077,45.0,ideal
8.0,9.410897366739892,17.939523105347916,20.25812129726307,62.31893843151474,45.0,ideal
9.0,10.159313144320164,18.343204288355846,20.9686620252393,61.02029230207121,45.0,ideal
10.0,10.8659893599544,18.743831645921336,21.665662914881796,59.898695434400295,45.0,ideal
11.0,11.53671804491482,19.140464029063224,22.348450203441992,58.92096036492075,45.0,ideal
12.0,12.17611563677021,19.53251883398554,23.01688693112081,58.06155108332812,45.0,ideal
13.0,12.787924284996256,19.919651290090318,23.671153648219047,57.30053887899809,45.0,ideal
14.0,13.375222143048186,20.30167646712672,24.31161522301168,56.62216796356958,45.0,ideal
15.0,13.940573779993283,20.678517773656715,24.938738834008284,56.01383289035143,45.0,ideal
16.0,14.486140092414889,21.05017232179039,25.553043058589722,55.46533842860066,45.0,ideal
17.0,15.013760153252548,21.416687277433773,26.155066199090143,54.96835617047383,45.0,ideal
18.0,15.525013194264313,21.778143508620758,26.745346686183776,54.51602020496816,45.0,ideal
19.0,16.02126625381685,22.13464416645749,27.324411151045528,54.102622488291914,45.0,ideal
20.0,16.503711302991423,22.486306650325808,27.892767405637137,53.72338064168298,45.0,ideal
21.0,16.97339452871497,22.833256925533224,28.450900577219382,53.37425902759903,45.0,ideal
22.0,17.43123968836327,23.175625494755703,28.999271269229187,53.05182948001702,45.0,ideal
23.0,17.878066925574064,23.51354454341805,29.538315016104253,52.753161874558835,45.0,ideal
24.0,18.31460807056161,23.847145925210437,30.068442552891916,52.47573738554823,45.0,ideal
25.0,18.7415191882813,24.176559752882888,30.590040584632,52.21737915902923,45.0,ideal
26.0,19.15939095074203,24.501913427391248,31.10347284800768,51.97619647704481,45.0,ideal
27.0,19.568757273380694,24.823330985677366,31.609081328772906,51.75053946217898,45.0,ideal
28.0,19.97010255475497,25.140932680539727,32.107187545701684,51.538962082961376,45.0,ideal
29.0,20.363867783677815,25.45483472959726,32.59809384338633,51.340191745909905,45.0,ideal
30.0,20.750455721246347,25.765149187214217,33.08208465739139,51.15310415119675,45.0,ideal
31.0,21.13023532205316,26.071983905436557,33.55942772948737,50.97670238291712,45.0,ideal
32.0,21.503545525690374,26.375442558854616,34.03037526021242,50.8100994277193,45.0,ideal
33.0,21.87069852393642,26.67562471480124,34.49516499235551,50.65250348571029,45.0,ideal
34.0,22.231982588916516,26.97262593508253,34.95402122314075,50.50320556848863,45.0,ideal
35.0,22.587664531703222,27.266537898984602,35.407155745604975,50.361568980631745,45.0,ideal
36.0,22.937991848275338,27.557448539941884,35.85476872137221,50.227020360142895,45.0,ideal
37.0,23.283194599737186,27.84544219022622,36.297049488057034,50.099042015538544,45.0,ideal
38.0,23.623487065654412,28.13059972949636,36.73417730509671,49.97716534638066,45.0,ideal
39.0,23.9590692028603,28.412998734161246,37.166322042070526,49.86096517309845,45.0,ideal
40.0,24.290127936802772,28.692713625348276,37.59364481361834,49.750054833140425,45.0,ideal
41.0,24.61683830818484,28.96981581390045,38.01629856499227,49.644081925561025,45.0,ideal
42.0,24.93936449410576,29.244373841302586,38.4344286121145,49.54272460638292,45.0,ideal
43.0,25.257860719984464,29.516453515795792,38.84817313980501,49.44568835349568,45.0,ideal
44.0,25.572472076121024,29.786118043209147,39.25766366160853,49.352703133236,45.0,ideal
45.0,25.883335250732266,30.053428152239132,39.66302544440602,49.26352091175282,45.0,ideal
46.0,26.190579189608496,30.31844221405766,40.064377900752525,49.17791346327195,45.0,ideal
47.0,26.494325691120366,30.58121635623998,40.46183495164697,49.09567043481344,45.0,ideal
48.0,26.794689944109606,30.8418045710845,40.855505362214494,49.016597633081865,45.0,ideal
49.0,27.09178101518654,31.10025881845394,41.24549305257053,48.940515504379036,45.0,ideal
50.0,27.385702291098728,31.35662912330804,41.631897385939304,48.86725778267336,45.0,ideal
51.0,27.67655188110434,31.610963668124057,42.01481343591709,48.796670284548306,45.0,ideal
52.0,27.964422983658878,31.863308880419,42.39433223460392,48.72860983277099,45.0,ideal
53.0,28.249404221188406,32.11370951559624,42.77054100317407,48.6629432927667,45.0,ideal
54.0,28.53157994626191,32.36220873534338,43.14352336631618,48.59954670843898,45.0,ideal
55.0,28.811030522078457,32.608848181806984,43.51335955184653,48.53830452560201,45.0,ideal
56.0,29.08783257984122,32.85366804776709,43.88012657668326,48.47910889284798,45.0,ideal
57.0,29.36205925529305,33.096707143027686,44.243898420264465,48.42185903099904,45.0,ideal
58.0,29.633780406429256,33.338002957232916,44.604746186397485,48.366460663429805,45.0,ideal
59.0,29.903062814177794,33.57759171930981,44.96273825444048,48.31282550052136,45.0,ideal
60.0,,,,,,UNREACHABLE
